,_id,balcony,built_in_kitchen,cellar,courtage,distance_bus,distance_medical,distance_transit,education_distance_adult_education,education_distance_grundschule,education_distance_kita,education_distance_oberschule,education_distance_post_secondary,education_distance_university,food_drink_activity_bad,food_drink_activity_best,food_drink_activity_better,food_drink_activity_ok,food_drink_count_locations,food_drink_total_activity,garden,grocery_count_choices,grocery_distance_to_grocery,grocery_rating_score,is_vacant,key_distances_distance_alex,key_distances_distance_eberswalder,key_distances_distance_eisenacher,key_distances_distance_gesundbrunnen,key_distances_distance_hermannplatz,key_distances_distance_kotti,key_distances_distance_kudamm,key_distances_distance_leopoldplatz,key_distances_distance_ostkreuz,key_distances_distance_postdamerplatz,key_distances_distance_schloss,lat,lift,living_space,lng,location,number_rooms,park_distance_high_value_parks,park_total_activity,park_weighted_average_rating,postcode,price,price_per_sqm,private_seller,reference_url,shopping_count_choices,shopping_distance_to_shopping,shopping_rating_score,title
0,105177074,1,0,1,1,642.58,0.83,122.69,1270.98,359.68,407.74,970.86,1077.28,792.46,0.86,10.15,69.59,19.4,262,43849.0,0,1,549.81,951.2,1,12,22,32,21,17,11,32,28,17,24,48,52.50769,1,84.61,13.42407,Mitte (Mitte),2.0,1202.5005413398692,5231,4.012387688778436,10179,452664.0,5350.005909466966,0,http://rest.immobilienscout24.de/restapi/api/search/v1.0/expose/105177074,3,783.97,2709.4,Originelles City-Domizil mit Balkon
1,101116283,1,0,1,1,642.58,0.83,122.69,1270.98,359.68,407.74,970.86,1077.28,792.46,0.86,10.15,69.59,19.4,262,43849.0,0,1,549.81,951.2,1,12,22,32,21,17,11,32,28,17,24,48,52.50769,1,107.38,13.42407,Mitte (Mitte),2.0,1202.5005413398692,5231,4.012387688778436,10179,585221.0,5450.0,0,http://rest.immobilienscout24.de/restapi/api/search/v1.0/expose/101116283,3,783.97,2709.4,Schöner Wohnen auf 107 qm mit Terrasse & Garten
2,105194182,1,0,1,1,643.2,0.83,123.5,1270.16,358.83,406.63,971.97,1078.18,793.24,0.85,10.07,69.05,20.03,263,44193.0,0,1,549.53,951.2,1,12,22,32,21,17,11,32,28,17,24,48,52.50768,1,71.9,13.42407,Mitte (Mitte),2.0,1202.1009007328316,5231,4.012387688778436,10179,359500.0,5000.0,0,http://rest.immobilienscout24.de/restapi/api/search/v1.0/expose/105194182,3,784.4,2709.4,Gemütliche Wohnung in gefragter Lage
3,101890237,0,0,1,0,110.01,0.3,110.01,1549.3,714.01,160.02,961.94,1012.58,1386.95,1.03,3.41,57.97,37.59,256,88211.0,0,2,495.36,588.0,0,5,16,38,18,20,17,37,26,16,25,38,52.52508,1,45.83,13.41836,Mitte (Mitte),2.0,1292.4639732618032,16237,4.402549732093367,10178,199500.0,4353.043857735108,0,http://rest.immobilienscout24.de/restapi/api/search/v1.0/expose/101890237,3,624.27,63063.0,Kapitalanlage am Alex: vermietete 2 Zimmerwohnung im 8. OG - provisionsfrei
4,101890504,0,0,1,0,110.01,0.3,110.01,1549.3,714.01,160.02,961.94,1012.58,1386.95,1.03,3.41,57.97,37.59,256,88211.0,0,2,495.36,588.0,0,5,16,38,18,20,17,37,26,16,25,38,52.52508,1,70.28,13.41836,Mitte (Mitte),4.0,1292.4639732618032,16237,4.402549732093367,10178,309500.0,4403.813318155948,0,http://rest.immobilienscout24.de/restapi/api/search/v1.0/expose/101890504,3,624.27,63063.0,Provisionsfreie Kapitalanlage am Alex: vermietete 4-Zimmerwohnung im 7. OG
5,93680293,1,0,1,0,287.19,0.61,153.3,1811.98,554.31,330.55,431.34,220.12,523.39,1.58,4.32,53.43,40.67,220,74527.0,0,2,122.37,162.0,1,7,15,38,18,16,13,28,24,14,18,38,52.51741,1,53.5,13.41611,Mitte (Mitte),2.0,1136.2200089536202,11162,4.405796452248701,10179,439500.0,8214.953271028038,0,https://rest.immobilienscout24.de/restapi/api/search/v1.0/expose/93680293,3,291.05,63063.0,Mitten in Berlins Mitte: 2-Zimmer-Apartment mit Loggia im 11. OG
6,91633140,0,0,1,0,194.11,0.78,269.41,1555.63,548.46,331.16,480.33,456.08,234.22,0.51,18.6,56.22,24.66,121,22158.0,0,1,488.76,7.6,1,8,18,31,17,12,9,27,24,13,19,37,52.51245,1,126.2,13.41919,Mitte (Mitte),4.0,1056.2511578670305,7866,4.439880498347318,10179,894000.0,7083.993660855785,0,https://rest.immobilienscout24.de/restapi/api/search/v1.0/expose/91633140,3,880.4,63063.0,Exklusives Wohnen im Herzen von Mitte: Bezugsfertige 4-Zimmer-Wohnung mit Blick auf die Spree
7,88186480,1,0,1,0,194.11,0.78,269.41,1555.63,548.46,331.16,480.33,456.08,234.22,0.51,18.6,56.22,24.66,121,22158.0,0,1,488.76,7.6,1,8,18,31,17,12,9,27,24,13,19,37,52.51245,1,126.73,13.41919,Mitte (Mitte),4.0,1056.2511578670305,7866,4.439880498347318,10179,1205000.0,9508.403692890397,0,https://rest.immobilienscout24.de/restapi/api/search/v1.0/expose/88186480,3,880.4,63063.0,Exklusivität pur am Spreeufer in Mitte: Penthaus mit 2 Dachterrassen und Blick auf den Fernsehturm
8,108519401,1,1,1,1,107.64,0.17,72.31,496.46,421.32,247.81,116.04,496.46,1231.18,1.3,5.58,70.62,22.51,510,146971.0,0,3,118.69,133.0,1,5,8,35,8,15,12,24,15,18,23,32,52.53048,0,95.58,13.40235,Mitte (Mitte),3.0,1080.8472035475513,51188,4.2904469797608815,10119,760000.0,7951.454279137895,0,https://rest.immobilienscout24.de/restapi/api/search/v1.0/expose/108519401,3,1097.08,11104.8,"Gepflegte Altbauwohnung mit hohen Decken, Stuck und Balkon mit direktem Blick auf den Weinbergsweg"
9,108541299,1,0,1,0,268.7,0.26,268.7,676.62,409.58,173.54,735.85,994.03,845.17,0.16,8.49,70.18,21.18,230,37013.0,0,3,211.42,951.2,1,10,20,30,18,11,8,31,26,19,23,44,52.5052,1,138.9,13.41381,Mitte (Mitte),2.0,1115.7416891403223,7797,4.132307297678595,10179,1389000.0,10000.0,0,https://rest.immobilienscout24.de/restapi/api/search/v1.0/expose/108541299,3,1589.92,9215.0,Licht & schöne Ausblicke! 2-Zimmer-Penthouse mit Zugang zur Dachterrasse - Provisionsfrei
