M&A Deal Number ;Target Name ;Acquiror Name ;Announcement Date ;Deal Status ;Deal Value ;Target Nation ;Target TRBC Economic Sector ;Acquiror Net Sales LTM ;Acquiror EBIT LTM ;Acquiror EBITDA LTM ;Acquiror Pre-tax Income LTM ;Acquiror Net Income LTM ;Acquiror Earnings Per Share LTM ;Acquiror Total Assets ;Currency of Acquiror Financials ;Date of Acquiror Financials ;Net Sales LTM ;EBIT LTM ;EBIT 3 Year Growth (%) ;EBIT 5 Year Growth (%) ;EBITDA LTM ;EBITDA Margin LTM ;Pre-tax Income LTM ;Net Income LTM ;Earnings Per Share LTM ;Cash and Short Term ;Total Assets ;Short Term Debt ;Net Debt ;Total Liabilities ;Total Debt ;Common Equity ;Equity Value at Announcement ;Equity Value at Effective Date ;Enterprise Value at Announcement ;Enterprise Value at Effective Date ;Book Value per Share ;Currency of Target Financials ;Date of Target Financials ;Acquiror Financial Advisor Name ;Acquiror Financial Advisor Assignments ;Acquiror Financial Advisor Credit ;Acquiror Financial Advisor Parent Name ;Acquiror Financial Advisor Fees, Total Amt ;Acquiror Financial Advisor Fees, Total Amt as % of Deal Value ;Acquiror Financial Advisor Imputed Fees Per Advisor ;Acquiror Legal Advisor Name ;Acquiror Legal Advisor Assignments ;Acquiror Legal Advisor Credit ;Target Financial Advisor Name ;Target Financial Advisor Assignments ;Target Financial Advisor Credit ;Target Financial Advisor Parent Name ;Target Financial Advisor Fees, Total Amt ;Target Financial Advisor Fees, Total Amt as % of Deal Value ;Target Financial Advisor Imputed Fees Per Advisor ;Target Legal Advisor Name ;Target Legal Advisor Assignments ;Target Legal Advisor Credit ;Related SDC Deal Number ;Related Deal Type ;Expected Synergy Date ;Status of MMC Ruling ;Target Termination Fee ;Acquiror Termination Fee ;Deal Market Value to EBITDA ;Deal Market Value to EBIT ;Deal Market Value to Pre-tax Income ;Deal Market Value to Net Income ;Deal Enterprise Value to Sales ;Deal Enterprise Value to EBITDA ;Deal Enterprise Value to EBIT ;Deal Enterprise Value to Net Income ;Deal Enterprise Value to Net Assets ;Offer Price to EPS ;Premium % 1 Day Prior to Announcement ;Premium % 1 Week Prior to Announcement ;Premium % 4 Weeks Prior to Announcement ;Investor Group Flag (Y/N) ;Investor Public Status ;Buyside: Financial Sponsor Activity Flag (Y/N) ;Buyside: Soverign Wealth Fund Involvement ;Acquiror Ultimate Parent Primary SIC ;Acquiror Ultimate Parent Macro Industry ;Acquiror Ultimate Parent Mid Industry ;Investor Ultimate Parent SDC Cusip ;Investor Ultimate Parent Names ;Investor Ultimate Parent Public Status ;Effective Date ;Deal Value inc. Net Debt of Target ;Percent of Shares Acquired ;Acquiror Nation ;Acquiror Macro Industry ;Acquiror Mid Industry ;Acquiror Business Description ;Target Macro Industry ;Target Mid Industry ;Target Business Description 
3426198040;Ideematec Deutschland GmbH;ABN AMRO Energy Transition Fun;03.07.2019;Pending;;Germany;Energy;;;;;;;130,48;EURO;31.12.2017;;;;;;;;;;;;;;;;;;;;;;-;;;;;;;;;Heuking Kuehn Lueer Wojtek;Counsel to Acquiror;;KPMG;Advisory;;KPMG;;;0,1000000;;;;;;;Bid not referred;;;;;;;;;;;;;;;;N;;N;N;Banks;Financials;Banks;;;;;;;Netherlands;Financials;Other Financials;ABN AMRO Energy Transition Fund BV is a provider of financial investment services. The Company is located in Rotterdam, the Netherlands. It is focused on the Renewables, Shipping & Intermodal and Oil & Gas sectors. The Company invests primarily in wind and solar projects in North West Europe.;Energy and Power;Alternative Energy Sources;Ideematec Deutschland GmbH is an alternative energy sources establishment. The company supplies solar projects in Australia and Jordan. The Company is located in Wallerfing, Germany.
3418333040;Murcia Solar Park GmbH;Q-Energy Tenencia y Gestion;11.03.2019;Completed;;Germany;Energy;;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;-;;;;;;;;;;;;KPMG;Advisory;;KPMG;;;0,1000000;Gomez Acebo & Pombo;Counsel to Seller;;;;;Bid not referred;;;;;;;;;;;;;;;;N;;N;N;Investment Advice;Financials;Asset Management;;;;11.03.2019;;100;Spain;Financials;Other Financials;Q-Energy Tenencia y Gestion III SCR SA is an intermediating company. The Company is located in Madrid, Spain.;Energy and Power;Alternative Energy Sources;Murcia Solar Park GmbH is an alternative energy sources establishment. The Company was founded in July 2007 and is located in Berlin, Germany.
3406389040;Geo X GmbH;IKAV Invest SARL;31.05.2019;Completed;;Germany;Energy;;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;-;;;;;;;;;CMS Hasche Sigle;Counsel to Acquiror;;;;;;;;;;;;;;;Bid not referred;;;;;;;;;;;;;;;;N;;N;N;Investment Advice;Financials;Asset Management;;;;19.07.2019;;49,9;Luxembourg;Financials;Asset Management;Ikav Invest SARL is an open-end investment fund. The Company was founded in August 2017 and is located in Luxembourg, Luxembourg.;Energy and Power;Alternative Energy Sources;geo x GmbH, located in Landau, Germany, provides geothermal services.
3396464040;Geysir Europe GmbH;Daldrup & Soehne AG;01.04.2019;Completed;;Germany;Energy;44,66;-19,65;-15,2;-21,4;-19,68;-3,29;162,25;EURO;31.12.2018;;;;;;;;;;;;;;;;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;Bid not referred;;;;;;;;;;;;;;;;N;;N;N;Cogeneration, Alternative Energy Sources;Energy and Power;Alternative Energy Sources;;;;01.04.2019;;22,88;Germany;Energy and Power;Alternative Energy Sources;Daldrup & Soehne AG, located in Ascheberg, Germany, provides drilling expertise services. Daldrup & Soehne performs drilling services for near-surface geothermic (heat collectors and geothermal probes for heating or cooling) and deep geothermic (deep geothermal probes for heat recovery, as well as hydrothermal and petrothermal systems for electricity generation and heat recovery). The company is also active in water procurement, environment, development and services (EDS), e.g. hydraulic clean-up of contaminated sites and raw materials and exploration. The company was founded in 2001.;Energy and Power;Alternative Energy Sources;Geysir Europe GmbH, located in Geiselgasteig, Germany, provides geothermal services in Germany. The company holds 13 claims for the development of geothermal energy in the Bavarian Molasse Basin as well as in the Upper Rhine Valley.
3395840040;OPVIUS GmbH;Armor;14.05.2019;Pending;;Germany;Energy;;;;;;;;EURO;31.12.2017;;;;;;;;;;0,02;6,23;;;11,58;;-5,36;;;;;;EURO;31.12.2018;;;;;;;;;;;;;;;;;;;;;;;;Bid not referred;;;;;;;;;;;;;;;;N;;Y;N;Printing Ink;Materials;Chemicals;;;;;;;France;Materials;Chemicals;Armor SA, based in Nantes, France, manufactures and wholesales printing inks. Its products consist of three families of thermal transfer ribbons, resin range, wax-resin range, and wax range. The company operates worldwide and has 8 production sites. It was founded in 1922.;Energy and Power;Alternative Energy Sources;OPVIUS GmbH is an alternative energy sources establishment. The Company was founded in 2012 and is located in Kitzingen, Germany. Opvius specializes integrating flexible organic photovoltaic film into numerous materials, including but not limited to textile, glass and ETFE.
3390850040;TESSOL Kraftstoffe Mineraloele und Tankanlagen GmbH;Losset Beteiligungs GmH & Co;23.09.2019;Pending;;Germany;Energy;;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;-;;;;;;;;;GOERG Partnerschaft von Rechtsanwaelten;Counsel to Parent;;Lazard;Advisory;;Lazard;;;20.000.000;;;;;;;Bid not referred;;;;;;;;;;;;;;;;N;;N;N;Gasoline Service Stations;Energy and Power;Oil & Gas;;;;;;;Germany;Financials;Other Financials;Losset Beteiligungs GmbH & Co KG is a provider of financial investment services. The Company is located in Munich, Germany.;Energy and Power;Oil & Gas;TESSOL Kraftstoffe Mineraloele und Tankanlagen GmbH is a petroleum and petroleum products wholesaler. The Company was founded in 1952 and is located in Stuttgart, Germany.
3387011040;Avista Oil AG;Investor Group;24.04.2019;Pending;;Germany;Energy;;;;;;;;-;;237,67;35,04;133,16;;59,33;0,25;31,75;21,66;;25,33;197,94;;;97,01;;101,88;;;;;;EURO;31.12.2017;;;;;;;;;;;;;;;;;;;;;;;;Bid not referred;;;;;;;;;;;;;;;;Y;Priv.;N;N;Investors, Not Elsewhere Classified;Financials;Other Financials;"09189K
83236K";"Bitburger Holding GmbH
SKion GmbH";Priv.;;;;Germany;Financials;Other Financials;Investor group;Energy and Power;Petrochemicals;AVISTA OIL AG, located in Uetze, Germany, provides used oils processing services. It offers a whole range of services in the field of used oils and emulsions from collecting and recycling to lubricant sales. Its brands include KERNSOLVAT, PENNASOL and MOTOR GOLD.
3381522040;Sowitec Group GmbH;Vestas Wind Systems A/S;11.04.2019;Pending;;Germany;Energy;11.396,59;991,53;1.499,27;904,15;680,07;3,42;13.552,27;Danish Krone;31.03.2019;;;;;;;;;;;;;;;;;;;;;;-;;;;;;;;;Cuatrecasas;Counsel to Acquiror;;Greentech Capital Advisors;Advisory;;Greentech Capital Advisors;;;0,7500000;Rwt Anwaltskanzlei Gmbh;Counsel to Target;;;;;Bid not referred;;;;;;;;;;;;;;;;N;;N;N;Steam, Gas, And Hydraulic Turbines, And Turbine Generator Set Units;Industrials;Machinery;;;;;;;Denmark;Industrials;Machinery;Vestas Wind Systems A/S, located in Aarhus, Denmark, manufactures and wholesales wind turbines. Its main products include V52-850 kW turbine to the V90-3.0 MW turbine. It operates in Nordic countries, as well as in select regions in Europe, America, Asia, Africa and Oceania. The Company was founded in 1986.;Energy and Power;Alternative Energy Sources;SoWiTec Group, located in Sonnenbuhl, Germany, owns and operates cogeneration plants such as wind and solar farms. The company develops renewable energy applications. It was founded in 1993.
3371596040;H-Tec Systems GmbH;Man Energy Solutions Se;26.03.2019;Pending;;Germany;Energy;;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;Bid not referred;;;;;;;;;;;;;;;;N;;N;N;Motor Vehicles And Passenger Car Bodies;Industrials;Automobiles & Components;;;;;;;Germany;Energy and Power;Other Energy & Power;MAN Energy Solutions SE, located in Augsburg, Germany, manufactures engines and turbomachinery for marine and stationary applications. The product range is rounded off by engines, turbines, expanders, compressors, reactors and more. The Company was founded in 1758.;Energy and Power;Alternative Energy Sources;H-Tec Systems GmbH is an alternative energy sources establishment. The Company was founded in June 1997 and is located in Lubeck, Germany.
3363904040;Veja Mate Offshore Project GmbH;Investor Group;30.10.2018;Completed;;Germany;Energy;;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;-;;;;;;;;;;;;;;;;;;;CMS Hasche Sigle;Counsel to Seller;;;;;Bid not referred;;;;;;;;;;;;;;;;Y;Sub.;Y;N;Investors, Not Elsewhere Classified;Financials;Other Financials;"202597
86060Q
7J5580
93282A";"Commerzbank AG
Stichting Ingka Foundation
KGAL GmbH & Co KG
Wpd Onshore GmbH & Co KG";"Public
Priv.";12.02.2019;;80;Germany;Financials;Other Financials;Investor group;Energy and Power;Alternative Energy Sources;Veja Mate Offshore Windfarm, Germany. located in Germany, owns and operates an offshore wind farm.
3359745040;FDT Flachdach Technologie GmbH & Co. KG;Donges Grp;07.03.2019;Pending;;Germany;Energy;;;;;;;;-;;104,13;;;;;;;;;;;;;;;;;;;;;EURO;31.12.2016;;;;;;;;;;;;;;;;;;;;;;;;Bid not referred;;;;;;;;;;;;;;;;N;;Y;N;Investors, Not Elsewhere Classified;Financials;Alternative Financial Investments;;;;;;;Germany;Industrials;Building/Construction & Engineering;Donges Group is a manufacturer of fabricated structural metal products. The Company was founded in 1872 and is located in Darmstadt, Germany.;Energy and Power;Petrochemicals;FDT Flachdach Technologie GmbH & Co. KG is a manufacturer of petroleum products. The Company is located in Mannheim, Germany.
3354424040;UNITANK HOLDING GmbH & Co KG;Investor Group;27.02.2019;Completed;;Germany;Energy;;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;-;;"Ernst & Young LLP
Rothschild & Co";Advisory;;"Ernst & Young LLP
Rothschild & Co";;;"0,1000000
1,0000000";Ashurst;Counsel to Investor;;"ABN AMRO Bank
CASE Corporate Finance GmbH";Advisory;;"ABN AMRO Bank
CASE Corporate Finance GmbH";;;10.000.000;;;;;;;Bid not referred;;;;;;;;;;;;;;;;Y;Sub.;Y;N;Investors, Not Elsewhere Classified;Financials;Other Financials;"7F5265
2F3753";"Standard Life Aberdeen PLC
DIF Management BV";"Public
Priv.";15.05.2019;;100;Netherlands;Financials;Other Financials;Investor group;Energy and Power;Oil & Gas;UNITANK HOLDING GmbH & Co KG is a petroleum and petroleum products wholesaler. The Company is located in Hamburg, Germany.
3333547040;wpd onshore GmbH & Co KG-Wind Farms(2);Investor Group;09.01.2019;Completed;;Germany;Energy;;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;-;;;;;;;;;Osborne Clarke;Counsel to Acquiror;;;;;;;;;;;;;;;Bid not referred;;;;;;;;;;;;;;;;Y;Priv.;Y;N;Investors, Not Elsewhere Classified;Financials;Other Financials;"34560E
9H8283";"Foresight Group LLP
Kis Kiamco";Priv.;09.01.2019;;100;United Kingdom;Financials;Other Financials;Investor group;Energy and Power;Alternative Energy Sources;2 Wind Farms of wpd onshore GmbH & Co KG, located in Germany. Krackow-Glasow and Seubersdorf 2 have a total installed capacity of more than 50 MW and consist of 17 wind turbines.
3330723040;DEA Deutsche Erdoel AG-Underground Gas Storage Facilities(3);Nafta Bavaria Gmbh;15.03.2018;Completed;;Germany;Energy;;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;-;;;;;;;;;Hengeler Mueller;Counsel to Acquiror;;Citi;Advisory;;Citi;;;17.500.000;CMS Hasche Sigle;Counsel to Parent;;;;;Bid not referred;;;;;;;;;;;;;;;;N;;N;N;Natural Gas Transmission;Energy and Power;Oil & Gas;;;;01.01.2019;;100;Germany;Energy and Power;Oil & Gas;Nafta Bavaria GmbH is engaged in the crude petroleum and natural gas services business. The Company was founded in January 2018 and is located in Munich, Germany.;Energy and Power;Oil & Gas;3 Underground Gas Storage Facilities of DEA Deutsche Erdoel AG, located in Inzenham - West, Wolfersberg and Breitbrunn/Eggstaett in Germany.
3330386040;Juwi AG;MVV Energie AG;11.12.2018;Pending;;Germany;Energy;4.530,32;197,7;446,55;243,42;150,91;2,29;5.931,18;EURO;30.09.2018;820,12;3,7;;-46,85;9,85;0,01;0,6;-16,33;;122,47;304,21;1,59;;221,74;49,33;100,67;;;;;;EURO;31.12.2016;;;;;;;;;;;;;;;;;;;;;;;;Bid not referred;;;;;;;;;;;;;;;;N;;N;N;National Government;Government and Agencies;National Government;;;;;;;Germany;Energy and Power;Power;MVV Energie AG, located in Mannheim, Germany, provides public utility services. It supplies electricity, district heating, gas and water. The Company is an operator of energy from waste and biomass plants. It offers range of green electricity products to private, industrial and commercial customers. It also operates as a holding company. The Company was founded in 1998.;High Technology;Semiconductors;juwi AG, located in Woerrstadt, Germany, manufactures alternative energy sources equipment. The company develops wind, solar and bio-energy installations. It has its offices in Australia, Chile, Czech Republic, Greece, India, Italy, Japan, Spain, South Africa, Turkey, the United Arab Emirates, the United Kingdom, and the United States. The company as founded in 1996.
3328356040;LichtBlick SE;Eneco Groep NV;19.12.2018;Completed;;Germany;Energy;;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;-;;;;;;;;;Luther Rechtsanwaltsgesellschaft mbH;Counsel to Acquiror;;;;;;;;;;;;;;;Bid not referred;;;;;;;;;;;;;;;;N;;N;N;Cogeneration, Alternative Energy Sources;Energy and Power;Alternative Energy Sources;;;;19.12.2018;;50;Netherlands;Energy and Power;Alternative Energy Sources;Eneco Groep NV is an electric power distributor. The Company was founded in 1995 and is located in Rotterdam, the Netherlands. Rotterdam, the Netherlands.;Energy and Power;Alternative Energy Sources;LichtBlick SE, located in Hamburg, Germany, provides renewable energy services. It operates as a genuine green electricity and green gas provider. It develops smart energy solutions for households and businesses. The Company was founded in 1998.
3327531040;BayWa re renewable energy GmbH-biomethane trading business;bmp greengas GmbH;09.11.2018;Completed;;Germany;Energy;;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;-;;;;;;;;;;;;Clearwater Corporate Finance LLP;Advisory;;Clearwater International;;;10.000.000;Clifford Chance;Counsel to Parent;;;;;Bid not referred;;;;;;;;;;;;;;;;N;;N;N;Electric And Other Services Combined;Energy and Power;Power;;;;21.02.2019;;100;Germany;Energy and Power;Oil & Gas;bmp greengas GmbH is a natural gas distributor. The Company was founded in 2007 and is located in Munich, Germany. The company helps buy or sell biomethane in a targeted manner.;Energy and Power;Alternative Energy Sources;Biomethane trading business of Baywa Re Renewable Energy GmbH, located in Germany.
