M&A Deal Number ;Target Name ;Acquiror Name ;Announcement Date ;Deal Status ;Deal Value ;Target Nation ;Target TRBC Economic Sector ;Acquiror Net Sales LTM ;Acquiror EBIT LTM ;Acquiror EBITDA LTM ;Acquiror Pre-tax Income LTM ;Acquiror Net Income LTM ;Acquiror Earnings Per Share LTM ;Acquiror Total Assets ;Currency of Acquiror Financials ;Date of Acquiror Financials ;Net Sales LTM ;EBIT LTM ;EBIT 3 Year Growth (%) ;EBIT 5 Year Growth (%) ;EBITDA LTM ;EBITDA Margin LTM ;Pre-tax Income LTM ;Net Income LTM ;Earnings Per Share LTM ;Cash and Short Term ;Total Assets ;Short Term Debt ;Net Debt ;Total Liabilities ;Total Debt ;Common Equity ;Equity Value at Announcement ;Equity Value at Effective Date ;Enterprise Value at Announcement ;Enterprise Value at Effective Date ;Book Value per Share ;Currency of Target Financials ;Date of Target Financials ;Acquiror Financial Advisor Name ;Acquiror Financial Advisor Assignments ;Acquiror Financial Advisor Credit ;Acquiror Financial Advisor Parent Name ;Acquiror Financial Advisor Fees, Total Amt ;Acquiror Financial Advisor Fees, Total Amt as % of Deal Value ;Acquiror Financial Advisor Imputed Fees Per Advisor ;Acquiror Legal Advisor Name ;Acquiror Legal Advisor Assignments ;Acquiror Legal Advisor Credit ;Target Financial Advisor Name ;Target Financial Advisor Assignments ;Target Financial Advisor Credit ;Target Financial Advisor Parent Name ;Target Financial Advisor Fees, Total Amt ;Target Financial Advisor Fees, Total Amt as % of Deal Value ;Target Financial Advisor Imputed Fees Per Advisor ;Target Legal Advisor Name ;Target Legal Advisor Assignments ;Target Legal Advisor Credit ;Related SDC Deal Number ;Related Deal Type ;Expected Synergy Date ;Status of MMC Ruling ;Target Termination Fee ;Acquiror Termination Fee ;Deal Market Value to EBITDA ;Deal Market Value to EBIT ;Deal Market Value to Pre-tax Income ;Deal Market Value to Net Income ;Deal Enterprise Value to Sales ;Deal Enterprise Value to EBITDA ;Deal Enterprise Value to EBIT ;Deal Enterprise Value to Net Income ;Deal Enterprise Value to Net Assets ;Offer Price to EPS ;Premium % 1 Day Prior to Announcement ;Premium % 1 Week Prior to Announcement ;Premium % 4 Weeks Prior to Announcement ;Investor Group Flag (Y/N) ;Investor Public Status ;Buyside: Financial Sponsor Activity Flag (Y/N) ;Buyside: Soverign Wealth Fund Involvement ;Acquiror Ultimate Parent Primary SIC ;Acquiror Ultimate Parent Macro Industry ;Acquiror Ultimate Parent Mid Industry ;Investor Ultimate Parent SDC Cusip ;Investor Ultimate Parent Names ;Investor Ultimate Parent Public Status ;Effective Date ;Deal Value inc. Net Debt of Target ;Percent of Shares Acquired ;Acquiror Nation ;Acquiror Macro Industry ;Acquiror Mid Industry ;Acquiror Business Description ;Target Macro Industry ;Target Mid Industry ;Target Business Description 
3483769040;BayWa re renewable energy GmbH;Seeking Buyer;28.11.2019;S Buyer;;Germany;Energy;;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;Bid not referred;;;;;;;;;;;;;;;;N;;N;N;Investors, Not Elsewhere Classified;Financials;Brokerage;;;;;;;Unknown;Financials;Brokerage;Seeking buyer;Energy and Power;Alternative Energy Sources;BayWa re renewable energy GmbH provides renewable energy services. It is also an investment holding company. It is focused on renewable energy: solar energy, wind power, bioenergy and geothermal energy. It is active in the fields of project development, turnkey installation, and project finance. The Company was founded in 1923 and is located in Munich, Germany.
3481602040;Siemens AG-Conventional Power & Renewable Energy Business;Shareholders;07.05.2019;Pending;;Germany;Energy;;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;Bid not referred;;;;;;;;;;;;;;;;Y;;N;N;Investors, Not Elsewhere Classified;Financials;Other Financials;;;;;;;Germany;Financials;Other Financials;Investor group;Energy and Power;Alternative Energy Sources;Conventional power & renewable energy business of Siemens AG, located in Germany.
3473756040;Erg Germany Gmbh-115 Mw Operational Management Portfolio;Windwaerts Energie GmbH;05.11.2019;Pending;;Germany;Energy;;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;Bid not referred;;;;;;;;;;;;;;;;N;;N;N;National Government;Government and Agencies;National Government;;;;;;;Germany;Energy and Power;Alternative Energy Sources;Windwaerts Energie GmbH is an alternative energy sources establishment. The Company was founded in 1994 and is located in Hannover, Germany.;Energy and Power;Alternative Energy Sources;115MW operational management portfolio of ERG Germany GmbH, located in Germany.
3464931040;Nordex SE;Acciona SA;08.10.2019;Pending;682,92;Germany;Energy;8.031,31;118,57;711,64;586,07;347,68;6,44;17.523,98;EURO;30.09.2019;2.865,38;-55,49;;;105,75;0,04;-115,33;-118,3;-1,22;436,38;4.134,46;59,95;320,29;3.459,23;754,57;675,22;1.121,00;;1.441,29;;6,96;EURO;30.09.2019;"HSBC Holdings PLC (United Kingdom)
Citi";Advisory;1.003.208;"HSBC Holdings PLC
Citi";;;63.400.400;;;;Rothschild & Co;Advisory;1.003.208;Rothschild & Co;;;54.144.000;Freshfields Bruckhaus Deringer;Counsel to Target;1.003.208;;;;Bid not referred;;;10,53;;;;0,5;13,54;;;2,12;;1,78;-0,29;6,89;N;;N;N;Highway And Street Construction, Except Elevated Highways;Industrials;Transportation & Infrastructure;;;;;1.003,21;;Spain;Industrials;Transportation & Infrastructure;Acciona SA is a highway, street and bridge construction company.It also provides renewable energy services for the energy sector. Its other activities include construction, real estate development, trucking and logistics, and the provision of waste management services. It operates in approximately 30 countries in five continents The Company was founded in June 1916 and is located in Alcobendas, Spain.;Industrials;Machinery;Nordex SE, located in Hamburg, Germany, manufactures and wholesales wind turbines for onshore and offshore use such as the serial produced multi-megawatt wind turbines. It also operates in China and acts as a holding company. The Company was founded in 1985.
3455024040;ZOLAR GmbH;Investor Group;27.08.2019;Completed;11,1;Germany;Energy;;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;-;;;;;;;;0,2660900;;;;;;;;;;0,2355500;;;;;;;Bid not referred;;;;;;;;;;;;;;;;Y;"Sub.
Priv.";Y;N;Investors, Not Elsewhere Classified;Financials;Other Financials;"07326B
157214
2E1764
86382E
1H4750";"BayWa AG
CEZ as
Partech Partners Sas
Sunstone Capital As
Statkraft Ventures Gmbh";"Public
Priv.";27.08.2019;11,1;;Germany;Financials;Other Financials;Investor group;Energy and Power;Power;ZOLAR GmbH is a power and communication line construction company. The Company was founded in 2016 and is located in Berlin, Germany. The Company has developed the ZOLAR Online Configurator, which helps customers select and optimize their solar system. The Company offers products, such as solar panels, inverters, solar cables, heaters, electric charging stations, water heating pumps and lithium-ion batteries, from multiple manufacturers.
3454403040;Senvion Holding Gmbh-Services & Onshore Assets Europe;Siemens Gamesa Renewable;16.09.2019;Pending;221,46;Germany;Energy;10.549,41;250,49;942,07;230,5;154,43;0,23;17.505,65;EURO;31.03.2019;;;;;;;;;;;;;;;;;;;;;;-;;"Deloitte SL (Spanish Office)
Citi";Advisory;221.460;"Deloitte
Citi";;;29.371.000;Freshfields Bruckhaus Deringer;Counsel to Acquiror;221.460;Rothschild & Co;Advisory;221.460;Rothschild & Co;;;32.823.900;Cuatrecasas;Counsel to Target;221.460;;;;Bid not referred;;;;;;;;;;;;;;;;N;;N;N;Steam, Gas, And Hydraulic Turbines, And Turbine Generator Set Units;Industrials;Machinery;;;;;221,46;;Spain;Industrials;Machinery;Siemens Gamesa Renewable Energy SA, located in Zamudio, Spain, manufactures wind turbines. It provides installation of wind turbines in the US, Italy, France, Germany, Portugal, Greece, United Kingdom, Ireland, China, Japan, Vietnam, Taiwan, Tunisia, India, Egypt, Morocco, Argentina, Mexico, Korea, Spain, Hungary, Poland and Denmark through Gamesa Eolica SL, and owns a photovoltaic panel manufacturing plant in Seville, Spain. The Company also develops, constructs and owns wind farms and solar energy generation facilities through Gamesa Energy SA and Gamesa Solar SA, respectively. The Company was founded in 1976.;Energy and Power;Alternative Energy Sources;Services & onshore assets europe of Senvion Holding Gmbh, located in Germany.
3453709040;Baier + Koeppel GmbH + Co KG;Timken Co;14.09.2019;Completed;165;Germany;Energy;3.771,10;514,4;670,8;442,3;316;4,08;4.624,80;U.S. Dollar;30.06.2019;;;;;;;;;;;;;;;;;;;;;;-;;;;;;;;0,6493800;Jones Day;Counsel to Acquiror;165.000;;;;;;;28.408.600;;;;;;;Bid not referred;;;;;;;;;;;;;;;;N;;N;N;Ball And Roller Bearings;Industrials;Other Industrials;;;;01.11.2019;165;100;United States of America;Industrials;Other Industrials;"Timken Co, headquartered in North Canton, Ohio, manufactures and wholesales engineered bearings and power transmission products. It provides bearings, transmissions, gearboxes, belts, chain, couplings and related products and offers a spectrum of power system rebuild and repair services. It operates through two segments: Mobile Industries and Process Industries. Its Mobile Industries segment offers a portfolio of bearings, seals, lubrication devices and systems, as well as power transmission components, engineered chain, augers, belts and related products and maintenance services to original equipment manufacturers (OEMs) and end users of off-highway equipment for the agricultural, construction, mining, outdoor power equipment and powersports markets; on-highway vehicles, including passenger cars, light trucks and medium- and heavy-duty trucks; rail cars, and locomotives. Its Process Industries segment supplies industrial bearings and assemblies, power transmission components, and services to OEMs and end users. The Company was founded in 1899.";Energy and Power;Petrochemicals;Baier Koeppel GmbH Co KG is a manufacturer of petroleum lubricants. The Company was founded in 1970 and is located in Pegnitz, Germany.
3452496040;Geysir Europe GmbH;IKAV Invest SARL;31.05.2019;Completed;;Germany;Energy;;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;-;;;;;;;;;CMS Hasche Sigle;Counsel to Acquiror;;;;;;;;;;;;;;;Bid not referred;;;;;;;;;;;;;;;;N;;N;N;Investment Advice;Financials;Asset Management;;;;19.07.2019;;48,9;Luxembourg;Financials;Asset Management;Ikav Invest SARL is an open-end investment fund. The Company was founded in August 2017 and is located in Luxembourg, Luxembourg.;Energy and Power;Alternative Energy Sources;Geysir Europe GmbH, located in Geiselgasteig, Germany, provides geothermal services in Germany. The company holds 13 claims for the development of geothermal energy in the Bavarian Molasse Basin as well as in the Upper Rhine Valley.
3440408040;BAYERNOIL Raffineriegesellschaft mbH;Varo Energy BV;09.08.2019;Pending;;Germany;Energy;;630;754;109;98;;4.310,00;EURO;31.12.2017;;;;;;;;;;;;;;;;;;;;;;-;;;;;;;;;Hengeler Mueller;Counsel to Acquiror;;;;;;;;;Linklaters;Counsel to Target;;;;;Bid not referred;;;;;;;;;;;;;;;;N;;Y;N;Investors, Not Elsewhere Classified;Financials;Alternative Financial Investments;;;;;;;Netherlands;Energy and Power;Petrochemicals;Varo Energy BV is a petroleum refinery operator. The Company was founded in 2012 and is located in Rotterdam, the Netherlands.;Energy and Power;Petrochemicals;BAYERNOIL Raffineriegesellschaft mbH is a petroleum refinery operator. The Company was founded in 1998 and is located in Neustadt, Germany.
3436402040;IFE Eriksen AG-onshore wind & solar portfolio;Undisclosed Acquiror;01.07.2019;Completed;;Germany;Energy;;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;-;;;;;;;;17.185.900;;;;KPMG;Advisory;;KPMG;;;20.204.500;;;;;;;Bid not referred;;;;;;;;;;;;;;;;N;;N;N;Investors, Not Elsewhere Classified;Financials;Brokerage;;;;01.07.2019;;100;Unknown;Financials;Brokerage;Unknown;Energy and Power;Alternative Energy Sources;Onshore wind & solar portfolio of IFE Eriksen AG, located in Germany.
